Sentence,category
"""Hello Zaha, nice to meet you! I'm glad to be chosen to participate in this design evaluation. In my opinion the new faculty building should definitely have a couple studio spaces (like for the professorship Auer, Petzold or Dörfler). The building could have a positive impact on the environment by having an extensively planted green roof and probably a system that manages to facilitate the building without extrernal cooling or heating. That would be pretty cool. I would also love to see a building that communicates towards the main TUM campus, because the building as it is doesn't really open up to the Theresienstraße. As many Civil and Environmental Engineers work in the Nordbau, it should definitely have a connection to that department as well. The TUM doesn't have a timber building at the Stammgelände, so it would be nice to see that the TUM actually cares about progressional architecture and provides us with a new timber faculty building. A little place to get coffee within the building and to look into the green would also be nice. """,['Land use']
"""It is definitely important, how can we achieve this goal?""",['other']
"""Building will be used as a university building, it should host 1400 people. It should be bigger than 3000 sqm, smaller than 5000 sqm. It should have 3-4 floors, each floor will be accessible with elevators and stairs.""",['Land use']
"""What is your design idea?""",['Future of work']
"""Is a ceiling heating or cooling possible?""",['Environment and climate resilience']
"""It is a very central place, there can be huge windows to look outside.""",['Land use']
"""It should be fokused on student work which is mostly on computers and model work""",['Land use']
"""What do you think about the example i provided in the second point?""",['Future of work']
"""we can also have a strairs in front of the building to use it for sitting or like a scene for some events and small concerts""",['Land use']
"""Will there be something distinctive, individual for only this building?""",['Local identity']
"""maybe an atrium building?""",['Land use']
"""What will the color be like""",['Local identity']
"""I think its important to have meeting zones for informal exchange""",['Land use']
"""How can the building have a positive impact on the community and the environment? """,['Environment and climate resilience']
"""There shouldn't be too many lecture halls.""",['Land use']
"""a lot of student""",['Future of work']
"""Personal and teamwork should be possible, but how do we differentiate between pulbic use and private use i this context""",['Land use']
"""I think a building of 3000 mq is enough """,['Land use']
"""How thick should the column be with 5m raster?""",['Land use']
"""it has a library""",['Future of work']
"""The building should maximize the space provided to be efficient""",['Land use']
"""Where did you learn architecture?""",['Local identity']
"""Thank you!""",['other']
"""The building should be easy to build, so students can build most of it themselves""","['Future of work', 'Land use']"
"""no""",['other']
"""Wheelcahir accesibility is very imporant in this building.""","['Mobility (transport)', 'Land use']"
"""okay you repeat again""",['Local identity']
"""What do you think about my input""",['other']
"""no problem""",['other']
"""Thank you for putting up with me!""",['other']
"""maybe looking into eco friendly materials """,['Environment and climate resilience']
"""new""",['other']
"""the building should have connected spaces for workshop between students""",['Land use']
"""At least 30""",['other']
"""We could use recycled wood for the construction ""","['Environment and climate resilience', 'Land use']"
"""the building should have relative small seminar rooms for those lectures with small groups of students""",['Land use']
"""the construction phase should be efficient and fast""",['Future of work']
"""trees""","['Environment and climate resilience', 'Land use']"
"""I live in Germany.""",['Local identity']
"""working in teams is essential for a collaboration in the student life so inputs for collective environments and meeting points like coffee stations, kitchens and similar things should be includet""",['Land use']
"""open to street""",['Mobility (transport)']
"""and some tables that can be used by everybody for different porposes like studying or eating""","['Future of work', 'Land use']"
"""not too big but with huge windows and big studios""",['Land use']
"""I really appreciate the roof terrace Cafe and I think it should be part of the new school as well""",['Land use']
"""1. open spaces, lecture halls, study rooms. 2. Usage of space in a way it might be shared with non university third parties of the communities. For example open spaces that might be used by anyone such as green spaces. 3. Should be representative of multiple architectural philosophies. 4. Openness, beauty, harmony""","['Land use', 'Local identity']"
"""and there should be some big place that people can communicate with each other""",['Future of work']
"""and different spaces""",['Land use']
"""I want a grade on the roof""",['Land use']
"""yes, the current building, as unsuitable as it might be, represents the heritage of the university.. How do you think that can be taken into account? """,['Local identity']
"""How many classrooms will be""",['Future of work']
"""Thank you""",['other']
"""hi, i think if there´s more free use co-working space in the building would be great. The interior of the building should pay attention to the use of more recycled materials and clean energy. Also, it would be great if the building could break up the interior and exterior spaces and have more entrances and courtyards, small spaces for free use. Considering the problem of lighting, perhaps the building can use more transparent glass and light steel structure. This building stands for freedom, cooperation, and environmental friendliness.""",['Local identity']
"""Who's your favorite architect what's your favorite building""",['Local identity']
"""about the new architecture school""",['Local identity']
"""and should be interesting""",['Local identity']
"""light colors to reflect the sun""",['Environment and climate resilience']
"""maybe, however Im interested in your suggestions... what do you suggest in this case?""",['other']
"""The building should have several spaces for group works, especially for create models. It's important to stimulate the cooperation between students of different years and courses creating rooms dedicated to the group work more similar to intern squares than classes. """,['Land use']
"""Hello Zaha, nice to meet you! I'm glad to be chosen to participate in this design evaluation. In my opinion the new faculty building should definitely have a couple studio spaces (like for the professorship Auer, Petzold or Dörfler). The building could have a positive impact on the environment by having an extensively planted green roof and probably a system that manages to facilitate the building without extrernal cooling or heating. That would be pretty cool. I would also love to see a building that communicates towards the main TUM campus, because the building as it is doesn't really open up to the Theresienstraße. As many Civil and Environmental Engineers work in the Nordbau, it should definitely have a connection to that department as well. The TUM doesn't have a timber building at the Stammgelände, so it would be nice to see that the TUM actually cares about progressional architecture and provides us with a new timber faculty building. A little place to get coffee within the building and to look into the green would also be nice. """,['Local identity']
"""There should be 50 seminar rooms, 12 office rooms, 7 lecture halls, 2 workshops, a Cafe and a music room in it.""","['Future of work', 'Local identity']"
"""I think there should be many various sitting and studying places for students, both inside and outside of the building.""",['Land use']
"""chat with teacher""","['Future of work', 'Local identity']"
"""I am done!""",['other']
"""I would like to use clt for the construction.""","['Environment and climate resilience', 'Land use']"
"""and we can see the beauty of different seasons""","['Environment and climate resilience', 'Local identity']"
"""Who's your favorite architect what's your favorite building""",['Mobility (transport)']
"""I hope there can be some automatic control system for lighting or heating in winter""",['Environment and climate resilience']
"""I don't care""",['other']
"""it should with more glass fassade """,['Land use']
"""Wil the building be a passive building or at least energy-efficient building?""",['Environment and climate resilience']
"""We need more free space """,['Land use']
"""which can show the value of our univesity""",['Local identity']
"""and don't forget about the coffe machine! This is the real important part""",['Land use']
"""thank you for your time""",['other']
"""What now?""",['other']
"""not too much glass """,['Environment and climate resilience']
"""the space should be rich""",['Local identity']
"""How can I do the insulation of a half timbered house?""",['Environment and climate resilience']
"""good """,['other']
"""Hello Zaha, nice to meet you! I'm glad to be chosen to participate in this design evaluation. In my opinion the new faculty building should definitely have a couple studio spaces (like for the professorship Auer, Petzold or Dörfler). The building could have a positive impact on the environment by having an extensively planted green roof and probably a system that manages to facilitate the building without extrernal cooling or heating. That would be pretty cool. I would also love to see a building that communicates towards the main TUM campus, because the building as it is doesn't really open up to the Theresienstraße. As many Civil and Environmental Engineers work in the Nordbau, it should definitely have a connection to that department as well. The TUM doesn't have a timber building at the Stammgelände, so it would be nice to see that the TUM actually cares about progressional architecture and provides us with a new timber faculty building. A little place to get coffee within the building and to look into the green would also be nice. """,['Mobility (transport)']
"""they can also be used in interior design""",['Future of work']
"""I think the building should have an outdoor space to connect people with nature""","['Environment and climate resilience', 'Land use']"
"""also it should be environmentally friendly and inlusive""",['Environment and climate resilience']
"""The design does not have to be a perfect square block, it can have many access points.""",['Land use']
"""Perhaps more accessible entrances larger public spaces more communal areas""","['Environment and climate resilience', 'Land use']"
"""i think that would make sense""",['other']
"""I agree! Architecture students should be inspired by the environment they're in and learn from it""",['Future of work']
"""well if we intend to maintain ceratin parts of the existing building, then maybe the new elements can be elaborated with prefabricated or 3d printed processes """,['Land use']
"""I would like to build a modern half timbered house, what infill material should I use?""","['Local identity', 'Land use']"
"""How would you design open spaces?""",['Local identity']
"""I hope there will be some green plants in the building, plants always make people feel more comfortable""",['Environment and climate resilience']
"""Are you married""",['other']
"""Yes, sustainability, equity and democracy""",['Environment and climate resilience']
"""How do I waterproof the structure？""",['Environment and climate resilience']
"""Ahh, true. Could you tell me something more about you?""",['other']
"""it should be 3000 m2""",['Land use']
"""I was wondering that the new school has big workshop and maybe some shops""","['Future of work', 'Land use']"
"""Thats great, how to contact you in that matter?""",['other']
"""Where did learn architecture""",['other']
"""Fine, thanks. What do you need to know?""",['other']
"""it should create positive external spaces that have a positive impact on both the student population and the local community""","['Local identity', 'Future of work']"
"""Do you know what they are planning to do with the building materials from the existing building?""",['Land use']
"""i want a modern design""",['Local identity']
"""What's the advantage of using clay on the ceiling?""",['Land use']
"""It should be a community space were students can meet and hang out together. So it should have a cafe somewhere were you could meet up. Of course it would need """,['Environment and climate resilience']
"""Recycling is not nearly as effective as reuse, unfortunately""",['Environment and climate resilience']
"""I would like to have it as a tall building with 20 stories """,['Land use']
"""I think that Zaha Hadid design terrible building""",['Local identity']
"""toilets""",['Environment and climate resilience']
"""What spaces should be in the building?""","['Future of work', 'Land use']"
"""places where you can sit, also a kind of retreat where exchange can be discussed.""",['Land use']
"""hi, i think if there´s more free use co-working space in the building would be great. The interior of the building should pay attention to the use of more recycled materials and clean energy. Also, it would be great if the building could break up the interior and exterior spaces and have more entrances and courtyards, small spaces for free use. Considering the problem of lighting, perhaps the building can use more transparent glass and light steel structure. This building stands for freedom, cooperation, and environmental friendliness.""",['Environment and climate resilience']
"""The building could have a positive a positive impact creating an architecture with public and semi public spaces on the bottom floor, opened for every student of the city of Munich where is possible to create temporary exhibition and events related to the architecture world. There has to be a cafè and a library but also an open space outside where students can work on projects on huge tables and being surrounded by nature. The building should look like a pacific place, that stimulate knowledge. So it should be modern, constructed with recycled materials and there should be several windows especially on the principal facade to permit to citizens to look inside and to the students to have as much natural light as possible. The building should express the value of cooperation, modernity, creativity and knowledge""","['Environment and climate resilience', 'Local identity', 'Land use']"
"""and it should be safe because we use our studio for a long time """,['Future of work']
"""Is a wall heating or cooling possible?""",['Environment and climate resilience']
"""It should be distinctive but still matching to the surrounding.""",['Local identity']
"""I think the building should also have a space for hanging out""",['Local identity']
"""the construction of the building should consider the state of art construction technologies such as Additive Manufacturing in Construction""",['Future of work']
"""why?""",['other']
"""Will the solar panels be used to produce electricity?""",['Environment and climate resilience']
"""Which projects have you done?""",['other']
"""Which architect or an architectural office will be responsible for the design?""","['Local identity', 'Future of work']"
"""Is there a cooling system?""",['Environment and climate resilience']
"""How does it look like? Will it in modern style or still match the other buildings around?""",['Local identity']
"""ground floor open""",['Land use']
"""Shelter from which elements?""",['Environment and climate resilience']
"""How are you?""",['other']
"""No""",['other']
"""And I think it could be a good idea to use parts of this building as a prototype for the various research that is done here at TUM""",['Land use']
"""the building should create an environment where the discussion and sharing of ideas is promoted and this should be evident in its form""",['Future of work']
"""and also trees and plants are important to provide shadows""",['Environment and climate resilience']
"""Are you so many lovely ideas""",['other']
"""Will it receive DGNB certificate?""",['Environment and climate resilience']
"""to create a public space in front of the building""","['Land use', 'Local identity']"
"""Nothing""",['other']
"""YES""",['other']
"""What values should the building express?""",['Local identity']
"""Are you able to draw?""",['other']
"""It would be good to hold different type of activities here.""",['Local identity']
"""I think it should be a city ​​landmark.""",['Local identity']
"""safe""",['Environment and climate resilience']
"""it should consider architecture of buildings nearby und have a humanic scale""","['Local identity', 'Land use']"
"""What aggregate should I use?""",['Land use']
"""buildings should be a part of communicate""",['Local identity']
"""big """,['other']
"""Is it possible that it will be a wood building?""",['Environment and climate resilience']
"""it should also have big windows""","['Environment and climate resilience', 'Local identity']"
"""Yes and easy access to toilet""",['Mobility (transport)']
"""the building should optimize the energy consumption""",['Environment and climate resilience']
"""Do you have any reference for the desin?""",['other']
"""I also believe building as simply as possible, while still complying with the high sustainability standards is a must. Florian Nagler has done a great deal of research into that topic""",['Environment and climate resilience']
"""I would include workstations fp""",['Land use']
"""Students need space to communicate""","['Land use', 'Future of work']"
"""How many rooms does the building have?""",['Land use']
"""somethig natural and local""","['Environment and climate resilience', 'Local identity']"
"""Is that how what do you think about my""",['other']
"""Is a floor heating or cooling possible?""",['Environment and climate resilience']
"""But how many people will be using it?""",['other']
"""20""",['other']
"""Yes, modern light-weithed clean""",['Local identity']
"""Do you not want any more input from me?""",['other']
"""well I think that the spaces should be focused on interaction and collaboration... so the biggest amount of exchange can take place""","['Land use', 'Future of work']"
"""well maybe it is a possibility to experiment about new types of architecture""",['Local identity']
"""I think the studio space is not enoughand too difficult to find now. where would you build it?""",['Land use']
"""Do you plan some special sustainable solutions? If yes, which ones?""",['Environment and climate resilience']
"""Exactly!""",['other']
"""Hi Zaha""",['other']
"""How many?""",['other']
"""The building should be made of recyclabe matierals""",['Environment and climate resilience']
"""What would you like to know""",['other']
"""It is tooooo narrow""",['Land use']
"""How would you achieve this in the TUM building?""",['Land use']
"""okay looks good""",['Environment and climate resilience']
"""Could you describe in your own words the example i provided?""",['Future of work']
"""Will there be a small library and some place for studing?""",['Land use']
"""not too much glass""",['Environment and climate resilience']
"""there should be canteen spaces for people to make their own food""",['Future of work']
"""finish?""",['other']
"""CODE""",['other']
"""Do you think ai will replace architects in the future? """,['Future of work']
"""it should be 3-4 floors in height and have both stairs and elevators""","['Mobility (transport)', 'Land use']"
"""That's great who were your teachers""",['other']
"""I think there should be more open studios inside the building which are not assigned to a particular professor, but available for every student to spend time and participate in zoom meetings.""",['Land use']
"""the internal design of the building should have different architectural styles""",['Local identity']
"""I think the building should reflect the values of the university, and not just be flashy for the sake of it""",['Local identity']
"""big rooms without limitation """,['Land use']
"""Can I do an internship within the planning process?""",['Future of work']
"""When will it be built?""",['other']
"""I guess so""",['other']
"""What do you think about Alvaro Siza Architect?""",['Local identity']
"""durable materials, efficient use of materials that are less ecological, reuse of existing materials of remounted buildings""",['Environment and climate resilience']
"""what types of experimental architecture that you find interesting... maybe digital fabrication and 3d printing?""",['Local identity']
"""How many floors will the building have?""",['Land use']
"""Will there be a rooftop garden?""",['Environment and climate resilience']
"""Do you know of the slide in Garching?""",['Local identity']
"""it should have a unique aesthetic while still relating to its surrounding cityscape""",['Local identity']
"""Can we have a garden?""",['Land use']
"""have a good communication with the neighbor""",['Local identity']
"""would there be any renovation""",['Land use']
"""I agree! Architecture students should be inspired by the environment they're in and learn from it""",['Environment and climate resilience']
"""modern""",['Local identity']
"""I would include workstations for individual use but how could we integrate this in a concept of the university """,['Land use']
"""there should be a lot of natural light inside""",['Environment and climate resilience']
"""Which of all values I mentioned in point 4 do you like the most?""",['Environment and climate resilience']
"""a lot of shops """,['other']
"""Hello Zaha, nice to meet you! I'm glad to be chosen to participate in this design evaluation. In my opinion the new faculty building should definitely have a couple studio spaces (like for the professorship Auer, Petzold or Dörfler). The building could have a positive impact on the environment by having an extensively planted green roof and probably a system that manages to facilitate the building without extrernal cooling or heating. That would be pretty cool. I would also love to see a building that communicates towards the main TUM campus, because the building as it is doesn't really open up to the Theresienstraße. As many Civil and Environmental Engineers work in the Nordbau, it should definitely have a connection to that department as well. The TUM doesn't have a timber building at the Stammgelände, so it would be nice to see that the TUM actually cares about progressional architecture and provides us with a new timber faculty building. A little place to get coffee within the building and to look into the green would also be nice. """,['Environment and climate resilience']
"""There should be greenery aroud the building, it would be nice to have realationship with nature.""","['Environment and climate resilience', 'Land use']"
"""Have you ever designed something like this before?""",['Future of work']
"""could be a wooden construction with a wooden facade""",['Environment and climate resilience']
"""Will there be a cafeteria?""",['Land use']
"""The seminar rooms should be accesible by many people in the building-""",['Land use']
"""What is your opinion on points 1 and 4?""",['other']
"""history""",['Local identity']
"""The rooms should have good acoustic quality""",['Future of work']
"""Can you show me the structure detail of the Sinnstiftung?""",['Environment and climate resilience']
"""Nice""",['other']
"""There should be many student gathering areas.""",['Land use']
"""Is the existing structure suited for that?""",['Land use']
"""Can you show me an example of a modern half timbered house>""",['Local identity']
"""I would like for the new building to have loads of daylight""",['Environment and climate resilience']
"""It should be accessible for every student, also with disabilities""",['Mobility (transport)']
"""Yes, Spaces for the meetings in groups. """,['Land use']
"""The existing structure should be touched as little as possible. Reconstruction is consuming a lot of resources so most of the existing building should be reused.""",['Environment and climate resilience']
"""to connect it with the existing buiding""",['Land use']
"""good""",['other']
"""I want a big playground.""",['Local identity']
"""do you have improvements regarding my ideas?""",['other']
"""trees grass""","['Environment and climate resilience', 'Land use']"
"""well it could be achieved through different methods. One, for example, could be the relationship between public and private spaces - leaning more to the public side. Another method could be through the typology of the floorplan and the construction methods implemented - meaning to have a high degree of \""permeability\"" in the architectural concept """,['Land use']
"""yes""",['other']
"""correct again """,['other']
"""It should be an environmentally sustainable project that uses sustainable materials and building practices to create a building that runs in a sustainable way """,['Environment and climate resilience']
"""keep it sefe from thief""",['Future of work']
"""What would you design there?""",['Future of work']
"""Can you show me some of your drawings?""",['other']
"""How should I connect the insulation and the frame?""",['Environment and climate resilience']
"""How can the building have a positive impact on the community and the environment?""","['Environment and climate resilience', 'Local identity']"
"""I thought there is at least twice as many students""",['other']
"""I like that""",['Local identity']
"""Thats not enough""",['other']
"""space for eating, learning, working and gathering under open sky""",['Land use']
"""To have a cafe on the ground floor would be nice.""",['Local identity']
"""I think it should be more inviting compared to current architecture faculties. For example, exhibition spaces on the ground floor or a cafe.""","['Local identity', 'Land use']"
"""and the ground floor should have a good realationship with the street ""","['Land use', 'Local identity']"
"""thank you and bye""",['other']
"""Yes it would be great! What´s the tile?""",['other']
"""consider the student's need""",['Future of work']
"""i see""",['other']
"""hi Zaha""",['other']
