Sentence,category
"""trees""","Environment and climate resilience, Land use"
"""spaces""","Environment and climate resilience, Land use"
"""history""",Local identity
"""history""",Local identity
"""spaces""","Environment and climate resilience, Land use"
"""trees grass""",Environment and climate resilience
"""modern""",Local identity
"""history""",Local identity
"""open to street""",Mobility (transport)
"""ground floor open""",Land use
"""and shops on ground floor""",Land use
"""not too high""",Environment and climate resilience
"""not too much glass """,Environment and climate resilience
"""not too much glass""",Environment and climate resilience
"""safe""",Environment and climate resilience
"""big """,other
"""safe""",other
"""The building should have several spaces for group works, especially for create models. It's important to stimulate the cooperation between students of different years and courses creating rooms dedicated to the group work more similar to intern squares than classes. ""","Environment and climate resilience, Local identity, Future of work, Land use"
"""The building could have a positive a positive impact creating an architecture with public and semi public spaces on the bottom floor, opened for every student of the city of Munich where is possible to create temporary exhibition and events related to the architecture world. There has to be a cafè and a library but also an open space outside where students can work on projects on huge tables and being surrounded by nature. The building should look like a pacific place, that stimulate knowledge. So it should be modern, constructed with recycled materials and there should be several windows especially on the principal facade to permit to citizens to look inside and to the students to have as much natural light as possible. The building should express the value of cooperation, modernity, creativity and knowledge""","Environment and climate resilience, Local identity, Land use"
"""I think a building of 3000 mq is enough """,Land use
"""We could use recycled wood for the construction ""","Environment and climate resilience, Land use"
"""thank you for your time""",other
"""I would like to have it as a tall building with 20 stories """,Land use
"""I don't care""",other
"""I want a grade on the roof""",Land use
"""Do you think ai will replace architects in the future? """,Future of work
"""the building should include a conference room and storage room for the student representatives. also I could imagine a flexible and open gathering point, which could consists of a student-run cafeteria and a library, with more content regarding feminism and sustainability. it should include an open ground floor, where the urban society meets students: with space for changing and constant exhibitions. The buidling offers a safe space for the LGTBIAQ* community and has an office for anti-racism where students can help students and can exchange their experiences, hopes and perspectives. The buidling itself is built with a CO2-positive footprint, with local materials and considering the circularity of its materials. the materials and the way of construction should arise out of the functionality in sense of sustainability, flexibility and physical comfort for the students. ""","Environment and climate resilience, Local identity, Land use"
"""do you have suggestions for my ideas?""",other
"""do you have improvements regarding my ideas?""",other
"""I think we need working spaces where students can work together""",Future of work
"""I think the building should also have a space for hanging out""",Local identity
"""The building should be made of recyclabe matierals""",Environment and climate resilience
"""The building should be easy to build, so students can build most of it themselves""","Future of work, Land use"
"""The building should maximize the space provided to be efficient""",Land use
"""It should be accessible for every student, also with disabilities""",Mobility (transport)
"""I think the building should have an outdoor space to connect people with nature""","Environment and climate resilience, Land use"
"""Workshops to take care of the outdoor space could be added""","Environment and climate resilience, Land use"
"""Exactly!""",other
"""We should let spaces be big but able to separate to provide more flexibility""",Land use
"""I am done!""",other
"""hi Zaha""",other
"""What would you like to know""",other
"""how to build a half-timbered house""","Local identity, Land use"
"""i want a modern design""",Local identity
"""I would like to build a modern half timbered house, what infill material should I use?""","Local identity, Land use"
"""I would like to use clt for the construction.""","Environment and climate resilience, Land use"
"""How can I do the insulation of a half timbered house?""",Environment and climate resilience
"""I live in Germany.""",Local identity
"""How should I connect the insulation and the frame?""",Environment and climate resilience
"""I want to use ultra lightweight concrete for the infill.""","Environment and climate resilience, Land use"
"""How do I waterproof the structure？""",Environment and climate resilience
"""How can I 3d print a column?""",Future of work
"""How thick should the column be with 5m raster?""",Land use
"""I would like to use wood column for a modern half timbered apartment.""",Land use
"""Can you show me the structure detail of the Sinnstiftung?""",Environment and climate resilience
"""Can I 3d print infra lightweight concrete?""",Future of work; Land use
"""What aggregate should I use?""",Land use
"""What aggregate should I use for the infra lightweight concrete？""",Land use
"""How does the Sinnstiftung look like?""",Local identity
"""What's the advantage of using clay on the ceiling?""",Land use
"""Are there any alternative materials?""",Land use
"""Are there examples of a modern half timbered house?""",Local identity
"""Can you show me an example of a modern half timbered house>""",Local identity
"""Hi Zaha""",other
"""I'm sorry that I don't have so much idea.""",other
"""I think there should be more open studios inside the building which are not assigned to a particular professor, but available for every student to spend time and participate in zoom meetings.""",Land use
"""I think it should be more inviting compared to current architecture faculties. For example, exhibition spaces on the ground floor or a cafe.""",Local identity; Land use
"""I like the brick appearance on the existing building.""",Local identity
"""It is a very central place, there can be huge windows to look outside.""",Land use
"""It can have a public plaza in the front.""",Land use
"""There should be greenery aroud the building, it would be nice to have realationship with nature.""",Environment and climate resilience; Land use
"""The design does not have to be a perfect square block, it can have many access points.""",Land use
"""It can also have connections with other buildings.""",Land use
"""Such as bridges""",Mobility (transport); Land use
"""There should be many student gathering areas.""",Land use
"""The seminar rooms should be accesible by many people in the building-""",Land use
"""There should be a makerspace for model making.""",Land use
"""There shouldn't be too many lecture halls.""",Land use
"""Wheelcahir accesibility is very imporant in this building.""",Mobility (transport); Land use
"""that was all of my ideas.""",other
"""Thank you!""",other
"""Do you have any ideas?""",other
"""Is there anything we should take into consideration?""",other
"""But it can be a very challenging goal to achieve.""",other
"""It is definitely important, how can we achieve this goal?""",other
"""Are they giving interesting ideas?""",other
"""Do you use every idea?""",other
"""Thank you""",other
"""Hi Zaha""",other
"""Fine, thanks. What do you need to know?""",other
"""More natural light in the interior space. Facilities and features for students, such as selling automats with drinks and food. Free drink water. Spaces to meet in group""",Land use
"""Yes, sustainability, equity and democracy""",Environment and climate resilience
"""Yes, modern light-weithed clean""",Local identity
"""Yes, Spaces for the meetings in groups. """,Land use
"""No""",other
"""CODE""",other
"""Have you ever designed something like this before?""",Future of work
"""Do you have any reference for the desin?""",other
"""I think that a good architecture school should have a big tables and a lot of light, It should look like an atelier""",Land use; Local identity
"""The collective space should be the core of the building, sharing ideas and networking are keypoints.""",Land use
"""and don't forget about the coffe machine! This is the real important part""",Land use
"""Can you tell me some interesting reference for the design?""",Future of work
"""Yes it would be great! What´s the tile?""",other
"""thanks to your database do you know all the architects who have ever existed and their respective works?""",
"""Can you tell a good building from a bad one?""",other
"""What do you think about Alvaro Siza Architect?""",Local identity
"""Are you able to draw?""",other
"""Can you show me some of your drawings?""",other
"""who have you worked with in the past?""",other
"""Can you be more specific?""",other
"""I think that Zaha Hadid design terrible building""",Local identity
"""Hello Zaha, nice to meet you! I'm glad to be chosen to participate in this design evaluation. In my opinion the new faculty building should definitely have a couple studio spaces (like for the professorship Auer, Petzold or Dörfler). The building could have a positive impact on the environment by having an extensively planted green roof and probably a system that manages to facilitate the building without extrernal cooling or heating. That would be pretty cool. I would also love to see a building that communicates towards the main TUM campus, because the building as it is doesn't really open up to the Theresienstraße. As many Civil and Environmental Engineers work in the Nordbau, it should definitely have a connection to that department as well. The TUM doesn't have a timber building at the Stammgelände, so it would be nice to see that the TUM actually cares about progressional architecture and provides us with a new timber faculty building. A little place to get coffee within the building and to look into the green would also be nice. """,Environment and climate resilience; Local identity; Land use; Mobility (transport)
"""big rooms without limitation """,Land use
"""hide in the environment""",Environment and climate resilience
"""no""",other
"""that is an good idea""",other
"""it should with more glass fassade """,Land use
"""what you mean about the values""",other
"""buildings should be a part of communicate""",Local identity
"""modern""",Local identity
"""finish?""",other
"""Hey, I would like a building with community space""",Land use
"""space for eating, learning, working and gathering under open sky""",Land use
"""not too big but with huge windows and big studios""",Land use
"""Great Idea!""",other
"""I think its important to have meeting zones for informal exchange""",Land use
"""places where you can sit, also a kind of retreat where exchange can be discussed.""",Land use
"""durable materials, efficient use of materials that are less ecological, reuse of existing materials of remounted buildings""",Environment and climate resilience
"""the building should have connected spaces for workshop between students""",Land use
"""the building should have kinda isolated spaces that make the students collaborate in separated groups""",Land use
"""the building should have large lecture rooms for those lectures with many students registered""",Land use
"""the building should have relative small seminar rooms for those lectures with small groups of students""",Land use
"""the internal design of the building should have different architectural styles""",Local identity
"""the construction of the building should consider the state of art construction technologies such as Additive Manufacturing in Construction""",Future of work
"""the building should optimize the energy consumption""",Environment and climate resilience
"""the construction phase should be efficient and fast""",Future of work
"""the design of the building should lead to the rethink of future architectural design""",Local identity
"""each floor should have at least two toilets""",Land use
"""When will it be built?""",other
"""How long will it take_""",other
"""Do you know the budget?""",other
"""For how many users will it be?""",other
"""But how many people will be using it?""",other
"""I thought there is at least twice as many students""",other
"""Which rooms will be there?""",Land use
"""Will there be a cafeteria?""",Land use
"""Nice""",other
"""Which architect or an architectural office will be responsible for the design?""","Local identity, Future of work"
"""Ahh, true. Could you tell me something more about you?""",other
"""Which projects have you done?""",other
"""For example?""",other
"""In which cities?""",other
"""Which building in Munich have you designed?""","Mobility (transport), Future of work"
"""Oh nice, I didnt know it was you""",other
"""Will the new building be similar to that one?""",other
"""Will there be something distinctive, individual for only this building?""",Local identity
"""Will there be a rooftop garden?""",Environment and climate resilience
"""Do you plan some special sustainable solutions? If yes, which ones?""",Environment and climate resilience
"""Have you thought about making this building clima-neutral?""",Environment and climate resilience
"""Will it receive DGNB certificate?""",Environment and climate resilience
"""Can I do an internship within the planning process?""",Future of work
"""Thats great, how to contact you in that matter?""",other
"""Stundentrooms should be included and worshopspaces are a necessity """,Land use
"""It should be fokused on student work which is mostly on computers and model work""",Land use
"""also it should be environmentally friendly and inlusive""",Environment and climate resilience
"""working in teams is essential for a collaboration in the student life so inputs for collective environments and meeting points like coffee stations, kitchens and similar things should be includet""",Land use
"""I would include workstations fp""",Land use
"""I would include workstations for individual use but how could we integrate this in a concept of the university """,Land use
"""Personal and teamwork should be possible, but how do we differentiate between pulbic use and private use i this context""",Land use
"""The existing structure should be touched as little as possible. Reconstruction is consuming a lot of resources so most of the existing building should be reused.""",Environment and climate resilience
"""Is the existing structure suited for that?""",Land use
"""How many floors will the building have?""",Land use
"""I hope there will be some green plants in the building, plants always make people feel more comfortable""",Environment and climate resilience
"""Wil the building be a passive building or at least energy-efficient building?""",Environment and climate resilience
"""What measurement or technology will be used for energy-saving?""",Environment and climate resilience
"""Will the solar panels be used to produce electricity?""",Environment and climate resilience
"""How much percentage of electricity comsume can those solar panels cover?""",Environment and climate resilience
"""Will the solar panel be only on the roof? How many space is there?""",Environment and climate resilience
"""How does it look like? Will it in modern style or still match the other buildings around?""",Local identity
"""How many rooms does the building have?""",Land use
"""Will there be a small library and some place for studing?""",Land use
"""Is it possible that it will be a wood building?""",Environment and climate resilience
"""I hope there can be some automatic control system for lighting or heating in winter""",Environment and climate resilience
"""Is there a cooling system?""",Environment and climate resilience
"""How does it cool the building? Is it central air-conditioner?""",Environment and climate resilience
"""Is a floor heating or cooling possible?""",Environment and climate resilience
"""Is a ceiling heating or cooling possible?""",Environment and climate resilience
"""Is a wall heating or cooling possible?""",Environment and climate resilience
"""I hope in office room or big classroom there can be sound absorber so that we can hear more clearly.""",Indoor comfort
"""The building should have spaces for the students to interact and hang out in their free time. Also it would be good to work with visual interactions as well. In addition i would prefer an industrial architecture.""",Land use
"""i think that would make sense""",other
"""it needs 4 floors but the scale of the excisting building works well in the urban context""",Land use
"""The building should be accessible to all students even those with disabilities. it should have studio spaces as well as offices for staff""","Mobility (transport), Future of work"
"""It should be an environmentally sustainable project that uses sustainable materials and building practices to create a building that runs in a sustainable way """,Environment and climate resilience
"""comfortable spaces and facilities for both students and staff so that they can relax when not working""",Future of work
"""it should have a unique aesthetic while still relating to its surrounding cityscape""",Local identity
"""it should accomadate 1400 students and have appropriate teaching spaces to accomadate this ""","Future of work, Land use"
"""it should be 3-4 floors in height and have both stairs and elevators""","Mobility (transport), Land use"
"""it should be 3000 m2""",Land use
"""there should be canteen spaces for people to make their own food""",Future of work
"""the building should create an environment where the discussion and sharing of ideas is promoted and this should be evident in its form""",Future of work
"""it should also have big windows""","Environment and climate resilience, Local identity"
"""it should create positive external spaces that have a positive impact on both the student population and the local community""","Local identity, Future of work"
"""it has a library""",Future of work
"""What do you think about my inp dear zaha where did you learn architectureut""",other
"""Where did learn architecture""",other
"""That's great who were your teachers""",other
"""Who's your favorite architect what's your favorite building""","Mobility (transport), Local identity"
"""Are you married""",other
"""What are you doing tonight""",other
"""How about we meet later for a beer""",other
"""hello""",other
"""yes""",other
"""about the new architecture school""",Local identity
"""I was wondering that the new school has big workshop and maybe some shops""","Future of work, Land use"
"""yes so that when we are hungry, we can buy some food.""",Future of work
"""Yes and easy access to toilet""",Mobility (transport)
"""and there should be some big place that people can communicate with each other""",Future of work
"""I think it should be a city ​​landmark.""",Local identity
"""which can show the value of our univesity""",Local identity
"""and it should be safe because we use our studio for a long time """,Future of work
"""keep it sefe from thief""",Future of work
"""and open to the block """,Land use
"""have a good communication with the neighbor""",Local identity
"""and the ground floor should have a good realationship with the street ""","Land use, Local identity"
"""like trees""",Environment and climate resilience
"""a beautiful courtyard is also good""",Local identity
"""and we can see the beauty of different seasons""","Environment and climate resilience, Local identity"
"""And the space should show our history""",Local identity
"""the space should be rich""",Local identity
"""and different spaces""",Land use
"""and should be interesting""",Local identity
"""and a if it possible the teachers can have chat with us """,Future of work
"""not too high""",Land use
"""and a lot of students can stay inside""","Land use, Future of work"
"""that is it""",
